Symptoms,Severity
massive acute case of foot trauma,High
crushing slight case of head obstruction,High
toxic head pain,High
intense sudden hand spasm,High
life-threatening chest fracture,High
toxic liver shock,High
crushing episodic knee spasm,High
acute neck congestion,High
critical shoulder cramps,High
toxic chronic ear trauma,High
sharp sudden arm cramps,High
uncontrolled sudden onset of nose burns,High
terminal chronic nose infection,High
decompensated sudden eye burns,High
complicated constant eye shock,High
terminal ear bleeding,High
massive sudden onset of stomach numbness,High
uncontrolled abdomen shock,High
intense hand cramps,High
acute liver numbness,High
persistent high-grade progressive shoulder ulcer,High
advanced severe episode of stomach obstruction,High
critical kidney weakness,High
terminal eye cramps,High
sharp sudden onset of throat tremor,High
crushing chronic throat shock,High
explosive recurring hand weakness,High
decompensated eye swelling,High
decompensated sudden heart spasm,High
complicated chest swelling,High
severe sudden knee spasm,High
life-threatening arm infection,High
toxic nose spasm,High
advanced sudden onset of back lesion,High
toxic recurring heart spasm,High
advanced chronic hand fatigue,High
intense constant eye inflammation,High
complicated recurring liver shock,High
toxic chronic foot spasm,High
critical slight case of head cramps,High
explosive throat lesion,High
life-threatening progressive back weakness,High
explosive ear fatigue,High
sharp kidney inflammation,High
toxic occasional liver congestion,High
hemorrhagic sudden back swelling,High
explosive acute case of neck cramps,High
rapid onset acute case of heart palpitations,High
advanced acute case of throat swelling,High
crushing severe episode of nose palpitations,High
uncontrolled recurring abdomen fatigue,High
toxic slight case of abdomen swelling,High
intense back obstruction,High
uncontrolled stomach burns,High
complicated arm rash,High
massive slight case of ear rash,High
acute eye spasm,High
complicated shoulder numbness,High
hemorrhagic constant chest tremor,High
intense throat palpitations,High
terminal severe episode of arm failure,High
intense sudden liver weakness,High
intense acute case of throat spasm,High
advanced occasional heart inflammation,High
hemorrhagic arm cramps,High
acute constant leg spasm,High
rapid onset head cramps,High
decompensated episodic lung fatigue,High
life-threatening episodic back spasm,High
intense gradual lung spasm,High
crushing acute case of foot ulcer,High
explosive abdomen obstruction,High
explosive back stiffness,High
crushing throat palpitations,High
profuse gradual stomach fatigue,High
rapid onset recurring heart rash,High
life-threatening occasional chest tremor,High
acute episodic heart fracture,High
decompensated throat spasm,High
toxic head fracture,High
critical chronic eye cramps,High
uncontrolled chest cramps,High
intense acute case of neck tremor,High
toxic acute case of eye obstruction,High
life-threatening episodic throat obstruction,High
massive constant foot rash,High
crushing constant foot inflammation,High
crushing sudden back palpitations,High
acute kidney palpitations,High
explosive occasional heart rash,High
intense shoulder trauma,High
terminal sudden abdomen lesion,High
massive kidney spasm,High
explosive slight case of head failure,High
severe slight case of liver stiffness,High
rapid onset chronic ear trauma,High
massive constant hand trauma,High
persistent high-grade lung ulcer,High
crushing severe episode of hand fatigue,High
hemorrhagic chronic shoulder rash,High
rapid onset nose bleeding,High
profuse chronic chest weakness,High
decompensated shoulder palpitations,High
severe neck congestion,High
life-threatening acute case of abdomen congestion,High
terminal sudden onset of heart pain,High
decompensated abdomen swelling,High
uncontrolled head infection,High
persistent high-grade severe episode of nose burns,High
explosive sudden onset of heart trauma,High
crushing recurring lung numbness,High
acute sudden liver fracture,High
critical ear cramps,High
acute shoulder stiffness,High
explosive sudden onset of liver ulcer,High
uncontrolled progressive hand obstruction,High
persistent high-grade stomach fracture,High
acute recurring ear rash,High
profuse neck pain,High
intense kidney inflammation,High
persistent high-grade progressive head congestion,High
profuse acute case of kidney tremor,High
critical abdomen cramps,High
hemorrhagic severe episode of abdomen pain,High
critical leg failure,High
critical ear swelling,High
hemorrhagic chest congestion,High
persistent high-grade hand pain,High
massive arm obstruction,High
advanced recurring nose congestion,High
profuse gradual leg tremor,High
advanced arm cramps,High
profuse lung weakness,High
explosive occasional liver fracture,High
massive gradual foot infection,High
intense lung fatigue,High
uncontrolled hand infection,High
intense slight case of hand pain,High
massive occasional eye fatigue,High
acute back spasm,High
life-threatening stomach infection,High
decompensated gradual back bleeding,High
persistent high-grade progressive abdomen weakness,High
acute hand failure,High
acute occasional eye shock,High
massive occasional chest spasm,High
sharp progressive throat bleeding,High
rapid onset sudden onset of lung ulcer,High
acute acute case of head ulcer,High
uncontrolled occasional liver fatigue,High
rapid onset liver stiffness,High
decompensated neck swelling,High
severe sudden onset of lung weakness,High
crushing slight case of arm failure,High
critical gradual chest rash,High
massive recurring foot shock,High
critical progressive foot trauma,High
advanced liver cramps,High
intense throat trauma,High
profuse episodic arm stiffness,High
explosive kidney spasm,High
decompensated shoulder shock,High
explosive hand ulcer,High
decompensated constant eye inflammation,High
severe liver shock,High
complicated kidney cramps,High
intense slight case of throat cramps,High
crushing sudden neck numbness,High
persistent high-grade chronic kidney burns,High
intense acute case of stomach palpitations,High
intense chronic abdomen swelling,High
acute slight case of hand trauma,High
profuse shoulder congestion,High
uncontrolled occasional head lesion,High
uncontrolled acute case of abdomen infection,High
profuse knee numbness,High
intense severe episode of heart cramps,High
hemorrhagic leg numbness,High
acute hand tremor,High
terminal gradual stomach shock,High
massive liver weakness,High
toxic back ulcer,High
profuse neck burns,High
sharp hand failure,High
critical nose ulcer,High
intense gradual hand bleeding,High
critical foot tremor,High
sharp constant heart congestion,High
sharp sudden onset of ear congestion,High
intense lung spasm,High
profuse head tremor,High
toxic ear ulcer,High
rapid onset constant liver rash,High
explosive nose failure,High
profuse gradual foot fatigue,High
advanced eye numbness,High
intense knee lesion,High
massive gradual stomach shock,High
massive eye trauma,High
hemorrhagic back palpitations,High
persistent high-grade severe episode of throat burns,High
rapid onset heart tremor,High
rapid onset throat trauma,High
rapid onset arm trauma,High
toxic constant head ulcer,High
complicated leg trauma,High
terminal constant arm spasm,High
profuse liver infection,High
terminal slight case of lung palpitations,High
critical progressive abdomen inflammation,High
acute shoulder infection,High
profuse acute case of lung burns,High
persistent high-grade neck lesion,High
uncontrolled constant lung pain,High
life-threatening chronic arm spasm,High
acute gradual head stiffness,High
critical gradual chest bleeding,High
advanced neck inflammation,High
life-threatening constant knee fatigue,High
critical recurring liver pain,High
severe kidney spasm,High
explosive acute case of eye lesion,High
terminal shoulder rash,High
toxic occasional knee cramps,High
persistent high-grade arm weakness,High
profuse throat rash,High
severe kidney palpitations,High
advanced recurring abdomen cramps,High
sharp nose congestion,High
life-threatening progressive lung weakness,High
explosive constant neck palpitations,High
profuse neck congestion,High
crushing severe episode of hand pain,High
sharp gradual eye obstruction,High
hemorrhagic recurring head shock,High
acute sudden abdomen ulcer,High
massive progressive lung congestion,High
crushing slight case of shoulder stiffness,High
uncontrolled severe episode of lung fracture,High
acute episodic abdomen fatigue,High
toxic stomach rash,High
persistent high-grade recurring lung swelling,High
decompensated severe episode of throat spasm,High
persistent high-grade head congestion,High
severe foot stiffness,High
critical severe episode of hand stiffness,High
sharp heart shock,High
uncontrolled progressive kidney cramps,High
massive foot fracture,High
acute liver cramps,High
persistent high-grade sudden onset of stomach palpitations,High
complicated knee inflammation,High
massive head spasm,High
rapid onset back palpitations,High
hemorrhagic episodic neck weakness,High
complicated back stiffness,High
sharp nose burns,High
advanced severe episode of knee congestion,High
advanced knee fracture,High
critical gradual leg congestion,High
advanced gradual neck shock,High
terminal sudden back obstruction,High
acute gradual hand inflammation,High
intense stomach fatigue,High
critical knee shock,High
persistent high-grade shoulder swelling,High
intense severe episode of throat cramps,High
life-threatening progressive neck pain,High
massive episodic liver obstruction,High
persistent high-grade severe episode of liver pain,High
life-threatening liver failure,High
acute knee ulcer,High
sharp back ulcer,High
uncontrolled slight case of head cramps,High
intense throat numbness,High
profuse episodic chest rash,High
terminal arm weakness,High
sharp occasional abdomen failure,High
rapid onset liver infection,High
toxic constant hand fatigue,High
rapid onset head congestion,High
persistent high-grade constant chest cramps,High
critical recurring neck weakness,High
advanced throat bleeding,High
terminal leg weakness,High
hemorrhagic back spasm,High
complicated ear shock,High
terminal recurring knee palpitations,High
life-threatening hand infection,High
critical recurring knee cramps,High
profuse nose stiffness,High
persistent high-grade kidney trauma,High
critical kidney congestion,High
critical back obstruction,High
intense sudden shoulder trauma,High
critical chronic chest cramps,High
persistent high-grade slight case of abdomen trauma,High
terminal constant hand fracture,High
rapid onset lung rash,High
intense progressive back inflammation,High
rapid onset slight case of ear cramps,High
life-threatening occasional head bleeding,High
advanced head stiffness,High
massive back tremor,High
advanced episodic nose infection,High
decompensated severe episode of lung swelling,High
hemorrhagic stomach pain,High
intense occasional ear swelling,High
sharp liver stiffness,High
massive liver cramps,High
decompensated severe episode of knee weakness,High
critical heart fatigue,High
rapid onset episodic abdomen lesion,High
acute sudden throat inflammation,High
hemorrhagic ear numbness,High
persistent high-grade acute case of back congestion,High
complicated sudden neck stiffness,High
profuse liver congestion,High
explosive throat lesion,High
advanced recurring arm fatigue,High
acute recurring ear lesion,High
complicated hand ulcer,High
sharp head infection,High
massive episodic lung obstruction,High
massive leg rash,High
terminal gradual shoulder fracture,High
profuse constant stomach infection,High
intense recurring heart spasm,High
advanced kidney trauma,High
toxic abdomen fracture,High
hemorrhagic slight case of foot obstruction,High
severe throat rash,High
uncontrolled occasional leg inflammation,High
hemorrhagic arm burns,High
profuse chest tremor,High
decompensated acute case of back cramps,High
sharp sudden onset of throat spasm,High
crushing back weakness,High
advanced gradual knee trauma,High
profuse stomach spasm,High
crushing episodic abdomen trauma,High
complicated sudden onset of abdomen ulcer,High
complicated foot obstruction,High
acute arm burns,High
decompensated lung pain,High
life-threatening eye fatigue,High
profuse eye tremor,High
rapid onset liver palpitations,High
acute sudden knee palpitations,High
severe liver rash,High
massive chronic throat fracture,High
acute nose congestion,High
complicated constant nose infection,High
rapid onset constant foot rash,High
intense heart cramps,High
profuse heart bleeding,High
decompensated constant eye infection,High
crushing chronic foot infection,High
toxic severe episode of stomach fracture,High
advanced shoulder fracture,High
complicated throat infection,High
explosive knee fracture,High
severe kidney infection,High
decompensated heart weakness,High
intense hand weakness,High
complicated acute case of neck infection,High
decompensated abdomen ulcer,High
crushing severe episode of shoulder pain,High
crushing occasional chest palpitations,High
advanced acute case of kidney numbness,High
advanced stomach palpitations,High
life-threatening recurring heart tremor,High
life-threatening stomach tremor,High
uncontrolled stomach inflammation,High
advanced severe episode of nose rash,High
acute chronic hand shock,High
acute sudden onset of knee shock,High
severe constant kidney infection,High
rapid onset sudden onset of hand lesion,High
profuse gradual liver shock,High
life-threatening throat bleeding,High
uncontrolled severe episode of heart numbness,High
intense gradual knee congestion,High
severe acute case of kidney rash,High
toxic progressive heart trauma,High
complicated sudden onset of chest inflammation,High
terminal knee trauma,High
rapid onset arm spasm,High
profuse severe episode of heart burns,High
critical head trauma,High
advanced ear infection,High
life-threatening constant hand bleeding,High
complicated slight case of foot burns,High
advanced progressive ear numbness,High
terminal severe episode of kidney congestion,High
sharp kidney shock,High
rapid onset severe episode of knee obstruction,High
profuse stomach numbness,High
explosive liver obstruction,High
advanced slight case of abdomen congestion,High
hemorrhagic constant foot palpitations,High
uncontrolled progressive leg bleeding,High
terminal foot cramps,High
intense throat shock,High
acute slight case of arm stiffness,High
toxic heart fracture,High
advanced knee rash,High
uncontrolled ear stiffness,High
explosive neck inflammation,High
decompensated gradual eye swelling,High
advanced shoulder fracture,High
uncontrolled back shock,High
sharp slight case of leg failure,High
life-threatening hand tremor,High
complicated constant chest burns,High
severe episodic knee shock,High
profuse stomach swelling,High
crushing arm failure,High
uncontrolled severe episode of arm congestion,High
advanced recurring knee trauma,High
explosive acute case of heart fracture,High
persistent high-grade kidney failure,High
explosive gradual abdomen burns,High
persistent high-grade back numbness,High
intense knee bleeding,High
hemorrhagic gradual arm burns,High
explosive severe episode of eye numbness,High
terminal chronic hand inflammation,High
explosive sudden onset of shoulder pain,High
severe occasional liver congestion,High
terminal constant leg palpitations,High
profuse knee numbness,High
decompensated eye obstruction,High
severe leg rash,High
sharp back bleeding,High
sharp foot inflammation,High
sharp arm inflammation,High
persistent high-grade acute case of neck fatigue,High
uncontrolled back lesion,High
life-threatening foot obstruction,High
transient occasional stomach palpitations,Low
transient foot swelling,Low
small leg tremor,Low
subtle recurring chest spasm,Low
occasional eye bleeding,Low
transient sudden back numbness,Low
subtle hand obstruction,Low
occasional back fatigue,Low
subtle chronic nose congestion,Low
subtle sudden knee burns,Low
mild nose obstruction,Low
moderate arm fracture,Low
mild knee tremor,Low
manageable throat failure,Low
tiny acute case of arm bleeding,Low
localized foot swelling,Low
slight severe episode of throat shock,Low
tiny hand burns,Low
minor stomach bleeding,Low
tiny sudden stomach lesion,Low
transient ear shock,Low
slight occasional hand congestion,Low
localized foot fatigue,Low
temporary episodic foot tremor,Low
intermittent chest stiffness,Low
manageable sudden back ulcer,Low
localized hand stiffness,Low
moderate episodic stomach tremor,Low
manageable gradual liver shock,Low
slight foot stiffness,Low
transient episodic arm pain,Low
tiny heart swelling,Low
localized head failure,Low
small shoulder burns,Low
manageable slight case of abdomen ulcer,Low
slight acute case of heart rash,Low
occasional arm bleeding,Low
minor head fracture,Low
moderate neck inflammation,Low
tiny episodic throat pain,Low
intermittent hand pain,Low
small knee inflammation,Low
minor foot swelling,Low
occasional foot rash,Low
slight lung pain,Low
moderate recurring hand bleeding,Low
localized nose weakness,Low
temporary nose weakness,Low
temporary throat bleeding,Low
manageable sudden onset of knee failure,Low
occasional abdomen spasm,Low
low-grade stomach trauma,Low
sporadic sudden onset of foot palpitations,Low
moderate severe episode of leg swelling,Low
small knee infection,Low
small recurring knee spasm,Low
intermittent head ulcer,Low
subtle leg rash,Low
slight gradual chest failure,Low
mild sudden onset of stomach failure,Low
intermittent severe episode of eye burns,Low
mild sudden eye lesion,Low
moderate slight case of eye palpitations,Low
temporary shoulder tremor,Low
slight acute case of head fracture,Low
manageable eye ulcer,Low
small shoulder ulcer,Low
localized nose spasm,Low
sporadic slight case of stomach cramps,Low
moderate chest tremor,Low
minor slight case of lung shock,Low
temporary abdomen numbness,Low
temporary recurring lung infection,Low
sporadic gradual foot bleeding,Low
localized arm lesion,Low
temporary sudden back palpitations,Low
temporary slight case of nose pain,Low
mild sudden onset of eye bleeding,Low
intermittent chest stiffness,Low
tiny hand stiffness,Low
sporadic severe episode of back inflammation,Low
slight ear infection,Low
slight recurring stomach shock,Low
manageable occasional shoulder tremor,Low
sporadic occasional abdomen rash,Low
minor sudden onset of leg ulcer,Low
moderate throat tremor,Low
occasional throat swelling,Low
moderate arm infection,Low
occasional progressive shoulder lesion,Low
localized slight case of head palpitations,Low
slight episodic chest failure,Low
minor neck stiffness,Low
transient stomach numbness,Low
sporadic sudden heart shock,Low
moderate abdomen spasm,Low
manageable sudden onset of shoulder pain,Low
intermittent severe episode of heart infection,Low
subtle kidney obstruction,Low
slight chest obstruction,Low
temporary shoulder obstruction,Low
small abdomen numbness,Low
small shoulder swelling,Low
minor sudden onset of liver ulcer,Low
sporadic nose numbness,Low
low-grade hand fatigue,Low
moderate acute case of leg spasm,Low
tiny lung trauma,Low
transient sudden onset of heart fracture,Low
intermittent progressive eye trauma,Low
temporary head stiffness,Low
moderate sudden ear weakness,Low
slight back palpitations,Low
tiny occasional chest trauma,Low
tiny slight case of head swelling,Low
moderate chronic neck pain,Low
low-grade occasional chest cramps,Low
small constant heart failure,Low
intermittent chronic back trauma,Low
temporary severe episode of nose numbness,Low
manageable recurring arm congestion,Low
subtle foot bleeding,Low
sporadic kidney burns,Low
manageable back failure,Low
tiny constant abdomen palpitations,Low
manageable severe episode of chest rash,Low
tiny occasional ear shock,Low
mild sudden arm swelling,Low
subtle severe episode of liver trauma,Low
low-grade severe episode of shoulder spasm,Low
subtle recurring knee numbness,Low
localized occasional kidney congestion,Low
tiny foot swelling,Low
sporadic stomach weakness,Low
intermittent episodic leg bleeding,Low
small sudden onset of lung numbness,Low
small gradual foot ulcer,Low
manageable ear trauma,Low
tiny foot spasm,Low
tiny constant stomach failure,Low
minor head trauma,Low
subtle progressive neck pain,Low
subtle slight case of stomach infection,Low
minor ear fracture,Low
subtle sudden neck congestion,Low
tiny chest rash,Low
transient ear obstruction,Low
intermittent severe episode of abdomen palpitations,Low
sporadic lung rash,Low
transient episodic head ulcer,Low
mild stomach fracture,Low
subtle shoulder stiffness,Low
intermittent slight case of head burns,Low
low-grade stomach palpitations,Low
localized arm spasm,Low
temporary head ulcer,Low
moderate chest numbness,Low
small sudden onset of heart palpitations,Low
small abdomen trauma,Low
sporadic progressive arm palpitations,Low
low-grade ear congestion,Low
occasional eye swelling,Low
intermittent slight case of heart failure,Low
transient shoulder ulcer,Low
transient acute case of liver swelling,Low
temporary progressive hand fracture,Low
manageable head infection,Low
subtle nose lesion,Low
transient heart trauma,Low
intermittent recurring ear burns,Low
low-grade heart spasm,Low
temporary kidney shock,Low
manageable constant head failure,Low
sporadic severe episode of back lesion,Low
temporary recurring leg burns,Low
tiny constant shoulder numbness,Low
small constant arm lesion,Low
sporadic hand stiffness,Low
intermittent recurring liver pain,Low
occasional sudden eye ulcer,Low
intermittent kidney cramps,Low
small occasional heart obstruction,Low
minor sudden onset of eye burns,Low
localized abdomen cramps,Low
minor back palpitations,Low
moderate throat bleeding,Low
low-grade slight case of eye lesion,Low
temporary occasional liver bleeding,Low
slight back rash,Low
minor severe episode of hand rash,Low
transient chronic nose ulcer,Low
mild sudden shoulder inflammation,Low
small chest palpitations,Low
intermittent neck congestion,Low
sporadic lung numbness,Low
intermittent foot congestion,Low
manageable episodic head stiffness,Low
intermittent heart obstruction,Low
intermittent episodic head tremor,Low
temporary arm congestion,Low
subtle lung inflammation,Low
subtle head congestion,Low
manageable sudden nose ulcer,Low
transient acute case of kidney failure,Low
localized abdomen bleeding,Low
small chronic kidney inflammation,Low
localized sudden onset of eye lesion,Low
localized stomach fatigue,Low
low-grade foot palpitations,Low
small slight case of hand swelling,Low
slight throat inflammation,Low
minor recurring nose bleeding,Low
intermittent nose trauma,Low
localized ear numbness,Low
low-grade abdomen stiffness,Low
slight knee trauma,Low
manageable shoulder tremor,Low
occasional throat infection,Low
intermittent hand shock,Low
occasional progressive lung trauma,Low
low-grade knee numbness,Low
intermittent chronic back cramps,Low
intermittent kidney shock,Low
small shoulder pain,Low
intermittent back bleeding,Low
small hand weakness,Low
subtle heart ulcer,Low
temporary recurring foot shock,Low
low-grade neck stiffness,Low
manageable heart rash,Low
small occasional kidney weakness,Low
manageable shoulder palpitations,Low
transient shoulder fatigue,Low
mild hand stiffness,Low
intermittent eye obstruction,Low
mild acute case of lung cramps,Low
tiny slight case of leg fracture,Low
subtle slight case of liver lesion,Low
intermittent foot bleeding,Low
manageable foot trauma,Low
localized heart lesion,Low
intermittent slight case of kidney spasm,Low
sporadic shoulder burns,Low
occasional gradual eye rash,Low
subtle sudden onset of hand tremor,Low
moderate abdomen shock,Low
tiny hand rash,Low
subtle neck spasm,Low
mild sudden onset of head inflammation,Low
occasional back fracture,Low
subtle episodic lung palpitations,Low
manageable occasional knee palpitations,Low
low-grade throat lesion,Low
sporadic heart bleeding,Low
sporadic acute case of nose inflammation,Low
manageable neck palpitations,Low
intermittent foot inflammation,Low
mild occasional liver rash,Low
small throat stiffness,Low
tiny heart rash,Low
tiny neck infection,Low
manageable knee rash,Low
intermittent recurring neck obstruction,Low
temporary chest tremor,Low
manageable episodic arm trauma,Low
moderate back palpitations,Low
intermittent constant lung bleeding,Low
subtle recurring neck fracture,Low
subtle sudden onset of nose rash,Low
small episodic neck trauma,Low
low-grade arm failure,Low
slight slight case of leg swelling,Low
moderate ear pain,Low
moderate stomach stiffness,Low
manageable abdomen pain,Low
minor back shock,Low
occasional hand inflammation,Low
occasional throat stiffness,Low
small chest palpitations,Low
transient acute case of abdomen spasm,Low
localized neck pain,Low
subtle neck spasm,Low
manageable chest shock,Low
transient neck congestion,Low
small liver congestion,Low
transient throat stiffness,Low
transient constant shoulder congestion,Low
manageable occasional knee inflammation,Low
mild acute case of shoulder swelling,Low
tiny chest tremor,Low
intermittent back failure,Low
manageable progressive heart trauma,Low
subtle episodic arm failure,Low
minor leg rash,Low
moderate sudden arm fracture,Low
temporary slight case of eye inflammation,Low
sporadic sudden onset of back inflammation,Low
low-grade recurring throat ulcer,Low
intermittent lung infection,Low
low-grade occasional heart ulcer,Low
small episodic liver failure,Low
occasional knee weakness,Low
intermittent chronic throat bleeding,Low
temporary arm palpitations,Low
transient arm spasm,Low
low-grade sudden back shock,Low
sporadic knee shock,Low
small eye burns,Low
manageable sudden stomach cramps,Low
low-grade progressive throat failure,Low
tiny sudden nose infection,Low
slight recurring heart obstruction,Low
localized episodic lung tremor,Low
tiny episodic head tremor,Low
slight acute case of heart shock,Low
localized hand palpitations,Low
minor constant ear palpitations,Low
sporadic knee trauma,Low
intermittent chest pain,Low
moderate lung shock,Low
tiny abdomen spasm,Low
occasional neck weakness,Low
intermittent foot failure,Low
small neck rash,Low
minor sudden kidney inflammation,Low
subtle shoulder fracture,Low
intermittent occasional leg weakness,Low
moderate chest fracture,Low
manageable lung burns,Low
moderate episodic leg bleeding,Low
temporary progressive kidney spasm,Low
localized sudden foot shock,Low
transient recurring nose cramps,Low
slight chest tremor,Low
moderate severe episode of stomach shock,Low
transient foot stiffness,Low
tiny constant leg numbness,Low
small stomach pain,Low
subtle slight case of chest inflammation,Low
occasional kidney pain,Low
slight episodic shoulder burns,Low
minor sudden onset of hand shock,Low
tiny constant liver fatigue,Low
localized recurring throat palpitations,Low
moderate sudden throat tremor,Low
subtle constant arm trauma,Low
localized stomach congestion,Low
moderate sudden onset of heart pain,Low
sporadic recurring arm shock,Low
slight abdomen burns,Low
subtle head lesion,Low
mild nose rash,Low
temporary recurring foot fracture,Low
mild episodic back infection,Low
occasional chest spasm,Low
manageable sudden stomach infection,Low
small episodic neck fatigue,Low
tiny sudden onset of leg numbness,Low
mild progressive lung shock,Low
subtle arm shock,Low
transient hand fatigue,Low
subtle sudden onset of hand ulcer,Low
localized knee shock,Low
moderate episodic back lesion,Low
slight arm burns,Low
intermittent sudden chest trauma,Low
mild severe episode of head obstruction,Low
minor gradual hand pain,Low
minor nose trauma,Low
minor back infection,Low
intermittent recurring abdomen pain,Low
occasional chronic ear lesion,Low
low-grade head bleeding,Low
transient throat cramps,Low
moderate stomach cramps,Low
temporary stomach pain,Low
minor eye cramps,Low
low-grade acute case of nose cramps,Low
low-grade acute case of kidney rash,Low
transient severe episode of leg shock,Low
sporadic chest cramps,Low
minor hand fracture,Low
mild heart spasm,Low
sporadic shoulder inflammation,Low
tiny gradual lung pain,Low
temporary back shock,Low
moderate heart pain,Low
temporary sudden onset of head palpitations,Low
tiny episodic head fracture,Low
transient sudden onset of eye swelling,Low
moderate sudden onset of throat pain,Low
temporary knee weakness,Low
small severe episode of abdomen tremor,Low
temporary gradual neck ulcer,Low
temporary recurring lung congestion,Low
mild progressive stomach trauma,Low
intermittent episodic kidney swelling,Low
manageable ear palpitations,Low
slight head weakness,Low
low-grade ear bleeding,Low
manageable severe episode of abdomen palpitations,Low
intermittent progressive knee weakness,Low
localized acute case of heart failure,Low
localized liver tremor,Low
subtle ear stiffness,Low
slight recurring leg obstruction,Low
minor heart ulcer,Low
slight recurring hand pain,Low
manageable heart fatigue,Low
slight gradual shoulder fracture,Low
minor sudden onset of heart ulcer,Low
occasional slight case of neck fatigue,Low
small nose ulcer,Low
minor foot numbness,Low
occasional stomach spasm,Low
minor recurring hand failure,Low
slight chest obstruction,Low
sporadic occasional hand spasm,Low
intermittent progressive lung obstruction,Low
slight acute case of head fatigue,Low
slight head numbness,Low
occasional ear congestion,Low
small lung inflammation,Low
manageable head tremor,Low
moderate ear fatigue,Low
manageable slight case of neck obstruction,Low
slight hand spasm,Low
subtle nose fracture,Low
small recurring eye congestion,Low
manageable chronic nose rash,Low
low-grade constant shoulder shock,Low
low-grade constant stomach inflammation,Low
manageable severe episode of back palpitations,Low
low-grade nose infection,Low
intermittent lung palpitations,Low
small recurring throat cramps,Low
mild slight case of liver weakness,Low
subtle chronic knee obstruction,Low
moderate arm lesion,Low
slight episodic kidney congestion,Low
mild back lesion,Low
minor acute case of arm pain,Low
sporadic slight case of leg failure,Low
mild constant back obstruction,Low
small abdomen pain,Low
transient sudden arm cramps,Low
sporadic chronic lung stiffness,Low
temporary severe episode of back ulcer,Low
subtle stomach congestion,Low
intermittent severe episode of neck spasm,Low
intermittent slight case of arm infection,Low
sporadic sudden stomach lesion,Low
mild gradual leg obstruction,Low
manageable stomach failure,Low
moderate foot spasm,Low
moderate sudden onset of abdomen failure,Low
small liver congestion,Low
tiny gradual lung tremor,Low
transient neck inflammation,Low
occasional nose swelling,Low
moderate severe episode of ear burns,Low
localized acute case of liver ulcer,Low
manageable ear palpitations,Low
moderate ear cramps,Low
subtle sudden nose failure,Low
transient heart spasm,Low
temporary recurring hand fatigue,Low
subtle sudden onset of head numbness,Low
temporary slight case of stomach palpitations,Low
small liver obstruction,Low
intermittent stomach ulcer,Low
sporadic chest failure,Low
sporadic kidney pain,Low
intermittent sudden onset of back pain,Low
sporadic foot inflammation,Low
manageable hand fatigue,Low
slight severe episode of heart obstruction,Low
temporary ear weakness,Low
mild head ulcer,Low
localized shoulder shock,Low
subtle ear trauma,Low
sporadic throat tremor,Low
temporary episodic kidney fracture,Low
intermittent throat lesion,Low
sporadic eye swelling,Low
minor arm numbness,Low
slight ear swelling,Low
manageable abdomen swelling,Low
slight sudden onset of neck cramps,Low
localized throat ulcer,Low
intermittent severe episode of abdomen trauma,Low
localized occasional hand cramps,Low
minor acute case of hand shock,Low
mild kidney failure,Low
localized head spasm,Low
small recurring knee inflammation,Low
intermittent knee weakness,Low
low-grade hand burns,Low
tiny foot trauma,Low
sporadic progressive hand bleeding,Low
mild episodic chest inflammation,Low
intermittent recurring neck congestion,Low
mild eye infection,Low
occasional liver fracture,Low
temporary shoulder weakness,Low
small progressive leg palpitations,Low
tiny sudden onset of hand palpitations,Low
moderate back cramps,Low
localized kidney palpitations,Low
sporadic progressive throat spasm,Low
temporary nose congestion,Low
transient hand stiffness,Low
occasional sudden chest tremor,Low
slight chronic heart palpitations,Low
tiny kidney burns,Low
mild head inflammation,Low
temporary occasional shoulder cramps,Low
tiny hand ulcer,Low
transient ear lesion,Low
mild knee burns,Low
moderate chronic head spasm,Low
small episodic shoulder congestion,Low
manageable recurring knee cramps,Low
localized hand bleeding,Low
manageable nose spasm,Low
minor back fatigue,Low
subtle shoulder burns,Low
low-grade liver infection,Low
small stomach weakness,Low
transient ear bleeding,Low
occasional episodic foot burns,Low
intermittent progressive chest spasm,Low
minor recurring ear inflammation,Low
manageable progressive lung pain,Low
minor back fracture,Low
mild occasional neck congestion,Low
minor recurring ear rash,Low
localized chest palpitations,Low
low-grade chronic knee lesion,Low
minor liver inflammation,Low
tiny liver burns,Low
manageable hand weakness,Low
temporary sudden onset of knee inflammation,Low
moderate severe episode of eye stiffness,Low
slight progressive heart palpitations,Low
low-grade heart spasm,Low
moderate hand trauma,Low
intermittent eye inflammation,Low
subtle episodic liver ulcer,Low
occasional head swelling,Low
intermittent eye stiffness,Low
slight back inflammation,Low
mild sudden hand burns,Low
transient arm lesion,Low
mild liver inflammation,Low
intermittent heart obstruction,Low
transient hand pain,Low
minor occasional throat trauma,Low
mild gradual head palpitations,Low
slight shoulder fracture,Low
localized gradual eye fatigue,Low
localized nose ulcer,Low
mild severe episode of arm lesion,Low
occasional shoulder stiffness,Low
intermittent nose cramps,Low
subtle abdomen stiffness,Low
manageable head bleeding,Low
tiny occasional hand inflammation,Low
manageable knee congestion,Low
transient throat ulcer,Low
low-grade episodic shoulder swelling,Low
moderate severe episode of hand inflammation,Low
slight recurring arm burns,Low
sporadic acute case of leg tremor,Low
transient lung fatigue,Low
intermittent sudden onset of arm weakness,Low
slight severe episode of neck fracture,Low
moderate back congestion,Low
localized chronic kidney lesion,Low
subtle throat palpitations,Low
intermittent chest spasm,Low
slight liver tremor,Low
intermittent foot stiffness,Low
